X1,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_ROUTE,LOCATION_TYPE,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_COND_1,LIGHTING,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,ALCOHOL_INVOLVED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,CITY,lon,lat,geometry,city_new
8022,2018,4/16/18,2018-04-16T20:18:00Z,Monday,IMJIN PW,IMJIN RD,W,N,NA,NA,2,0,4,A,3,H,C,F,H,B,Y,N,N,N,N,2,2,0,0,2,0,0,0,0,MARINA,-121.7920837,36.66202545,"c(-121.7920837, 36.66202545)",Marina
8023,2018,4/28/18,2018-04-28T15:10:00Z,Saturday,CONGRESS AV,SINEX AV,NA,Y,NA,NA,4,0,1,A,10,G,B,D,H,A,Y,N,N,N,N,0,0,1,0,1,0,0,0,0,PACIFIC GROVE,-121.9235916,36.61598969,"c(-121.9235916, 36.61598969)",Pacific Grove
8024,2018,4/1/18,2018-04-01T23:12:00Z,Sunday,EAST BORONDA RD,SAN JUAN GRADE RD,W,N,NA,NA,3,0,2,A,3,C,C,A,H,C,N,N,N,N,Y,0,2,0,0,0,0,0,0,0,SALINAS,-121.6513672,36.71989441,"c(-121.6513672, 36.71989441)",Salinas
8025,2018,4/21/18,2018-04-21T08:35:00Z,Saturday,LIGHTHOUSE AV,9TH ST,NA,Y,NA,NA,3,0,1,A,9,A,C,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,PACIFIC GROVE,-121.9120865,36.61914063,"c(-121.9120865, 36.61914063)",Pacific Grove
8026,2017,3/14/17,2017-03-14T20:39:00Z,Tuesday,DELMONTE AV,NORTH SANBORN RD,NA,Y,NA,NA,4,0,1,A,3,C,C,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6108199,36.68866008,"c(-121.6108199, 36.68866008)",Salinas
8027,2018,5/9/18,2018-05-09T11:38:00Z,Wednesday,SEACREST AV,CARMEL AV,NA,Y,NA,NA,4,0,1,B,22,G,B,D,H,A,Y,N,N,N,N,0,0,1,0,1,0,0,0,0,MARINA,-121.7985992,36.68227005,"c(-121.7985992, 36.68227005)",Marina
8028,2018,5/9/18,2018-05-09T12:51:00Z,Wednesday,MUNRAS AV,VIA ARBOLES,NA,Y,NA,NA,4,0,1,A,5,D,G,A,NA,A,N,Y,N,N,N,0,0,1,0,0,0,1,0,0,MONTEREY,-121.900238,36.58604813,"c(-121.900238, 36.58604813)",Monterey
8029,2018,5/2/18,2018-05-02T22:36:00Z,Wednesday,REESIDE AV,LIGHTHOUSE AV,NA,Y,NA,NA,4,0,1,A,12,D,C,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8983994,36.60963821,"c(-121.8983994, 36.60963821)",Monterey
8030,2018,5/13/18,2018-05-13T15:22:00Z,Sunday,DEL MONTE AV,PALO VERDE AV,W,N,NA,NA,3,0,1,A,8,D,C,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,MONTEREY,-121.8697052,36.60076523,"c(-121.8697052, 36.60076523)",Monterey
8031,2018,5/18/18,2018-05-18T13:11:00Z,Friday,LIGHTHOUSE AV,HOFFMAN AV,NA,Y,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.9017105,36.61355972,"c(-121.9017105, 36.61355972)",Monterey
8032,2018,5/12/18,2018-05-12T22:11:00Z,Saturday,FREMONT ST,ABREGO ST,NA,Y,NA,NA,3,0,1,A,11,G,B,E,H,C,Y,N,N,N,Y,0,1,0,0,1,0,0,0,0,MONTEREY,-121.8921814,36.59524918,"c(-121.8921814, 36.59524918)",Monterey
8033,2018,5/14/18,2018-05-14T23:06:00Z,Monday,WAVE ST,DAVID AV,S,N,NA,NA,4,0,1,A,1,F,I,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.9026566,36.6174736,"c(-121.9026566, 36.6174736)",Monterey
8034,2018,5/20/18,2018-05-20T17:13:00Z,Sunday,LIGHTHOUSE AV,HOFFMAN AV,N,N,NA,NA,4,0,1,A,11,G,B,E,H,A,Y,N,N,N,N,0,0,1,0,1,0,0,0,0,MONTEREY,-121.9019928,36.61388779,"c(-121.9019928, 36.61388779)",Monterey
8035,2018,5/11/18,2018-05-11T12:30:00Z,Friday,MUNRAS AV,SOLEDAD DR,N,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,Y,0,0,1,0,0,0,0,0,0,MONTEREY,-121.9018402,36.58338547,"c(-121.9018402, 36.58338547)",Monterey
8036,2018,4/16/18,2018-04-16T14:51:00Z,Monday,101,ELVEE DR,NA,Y,101,R,4,0,2,A,3,C,C,A,H,A,N,N,N,Y,N,0,0,2,0,0,0,0,0,0,SALINAS,-121.6261978,36.66527176,"c(-121.6261978, 36.66527176)",Salinas
8037,2018,4/26/18,2018-04-26T08:17:00Z,Thursday,68,EAST ROMIE LN,NA,Y,68,I,4,0,1,A,12,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6577148,36.6628685,"c(-121.6577148, 36.6628685)",Salinas
8038,2018,4/21/18,2018-04-21T13:47:00Z,Saturday,183,MENKE,N,N,183,H,3,0,1,A,7,B,C,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.653862,36.68177032,"c(-121.653862, 36.68177032)",Salinas
8039,2018,4/4/18,2018-04-04T14:35:00Z,Wednesday,101,FAIRVIEW AV,NA,Y,101,R,3,0,3,A,9,A,C,A,H,A,N,N,N,N,N,0,1,2,0,0,0,0,0,0,SALINAS,-121.6295319,36.66732025,"c(-121.6295319, 36.66732025)",Salinas
8040,2018,4/1/18,2018-04-01T14:59:00Z,Sunday,WEST LAUREL DR,ADAMS ST,NA,Y,NA,NA,4,0,1,A,12,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6624603,36.69800949,"c(-121.6624603, 36.69800949)",Salinas
8041,2018,4/6/18,2018-04-06T16:55:00Z,Friday,183,RIKER ST,NA,Y,183,I,3,0,1,A,1,B,C,A,H,A,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,SALINAS,-121.663002,36.68019104,"c(-121.663002, 36.68019104)",Salinas
8042,2018,3/16/18,2018-03-16T16:51:00Z,Friday,101,RT 101,NA,Y,101,R,4,0,1,A,12,D,D,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6419067,36.67959976,"c(-121.6419067, 36.67959976)",Salinas
